dataset,model,cal_size,test_size,n_classes,Kernel_brier,Kernel_logloss,Kernel_ece-15,Kernel_accuracy,Kernel_time
c10,densenet40,5000,10000,10,0.13831645250320435,0.39122268557548523,0.047159865498542786,0.9240999817848206,13.255494020180777
c10,lenet5,5000,10000,10,0.41505107283592224,0.9424049854278564,0.12148011475801468,0.723800003528595,13.063368019880727
c10,resnet_wide32,5000,10000,10,0.1101655513048172,0.3148634135723114,0.031559571623802185,0.9395999908447266,13.048159810947254
c10,resnet110,5000,10000,10,0.1181798130273819,0.3576193153858185,0.03734498843550682,0.9355999827384949,13.044553544837981
c10,resnet110_SD,5000,10000,10,0.10849317908287048,0.3112097382545471,0.03559214994311333,0.940500020980835,13.007933815009892
c100,densenet40,5000,10000,100,0.4521625339984894,1.6679192781448364,0.07476656883955002,0.701200008392334,130.73290763702244
c100,lenet5,5000,10000,100,0.811742901802063,2.813657760620117,0.013844572007656097,0.3041999936103821,130.13011009804904
c100,resnet_wide32,5000,10000,100,0.40197643637657166,1.484296202659607,0.08100652694702148,0.7383000254631042,129.580346633913
c100,resnet110,5000,10000,100,0.4235627055168152,1.4547717571258545,0.07849086076021194,0.7163000106811523,131.46115995990112
c100,resnet110_SD,5000,10000,100,0.40171942114830017,1.2561203241348267,0.0825687050819397,0.7263000011444092,131.38525668694638
birds,resnet50,2897,2897,200,0.3835977613925934,1.0255435705184937,0.07063181698322296,0.7245426177978516,44.06214943807572
SVHN,resnet152_SD,6000,26032,10,0.03383433446288109,0.1544533222913742,0.00798845011740923,0.9815227389335632,37.976991253206506
derma,beit,1003,2005,7,0.3894704282283783,1.0026816129684448,0.06966131180524826,0.7501246929168701,0.39253859291784465
derma,convnext,1003,2005,7,0.2125249207019806,0.606613278388977,0.04875187575817108,0.8817955255508423,0.43163836211897433
derma,resnet50,1003,2005,7,0.2228185385465622,0.5774776935577393,0.08866181969642639,0.8733167052268982,0.43000130797736347
derma,vit,1003,2005,7,0.4355771839618683,1.0256060361862183,0.09375923871994019,0.7201995253562927,0.3946974209975451
oct,beit,10832,1000,4,0.5102212429046631,1.126705527305603,0.23337282240390778,0.7269999980926514,1.48596979980357
oct,convnext,10832,1000,4,0.21578805148601532,0.5263127088546753,0.08956976979970932,0.8769999742507935,1.5162415110971779
oct,resnet50,10832,1000,4,0.24190708994865417,0.60869300365448,0.11254101991653442,0.875,1.506237176945433
oct,vit,10832,1000,4,0.5594823956489563,1.2315647602081299,0.2583581209182739,0.6970000267028809,1.4551020050421357
