dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
c10,densenet40,5000,10000,10,0.10964640974998474,0.22218115627765656,0.010553112253546715,0.9243999719619751,0.12211264879442751
c10,lenet5,5000,10000,10,0.35353803634643555,0.7497557997703552,0.01721038669347763,0.7458000183105469,0.13579973485320807
c10,resnet_wide32,5000,10000,10,0.08896289765834808,0.18322224915027618,0.006267001386731863,0.941100001335144,0.09821029100567102
c10,resnet110,5000,10000,10,0.09745121747255325,0.2066003382205963,0.010694803670048714,0.9354000091552734,0.10283684707246721
c10,resnet110_SD,5000,10000,10,0.08662597835063934,0.1749570667743683,0.007499751169234514,0.9419999718666077,0.09140371298417449
c100,densenet40,5000,10000,100,0.3998151421546936,1.0511682033538818,0.008630508556962013,0.7013999819755554,0.18631242983974516
c100,lenet5,5000,10000,100,0.7822774648666382,2.5655295848846436,0.023775389418005943,0.35089999437332153,0.1638698389288038
c100,resnet_wide32,5000,10000,100,0.35364672541618347,0.9381266832351685,0.016316572204232216,0.739300012588501,0.1390754811000079
c100,resnet110,5000,10000,100,0.3913715183734894,1.0851508378982544,0.022175932303071022,0.7160999774932861,0.124988310970366
c100,resnet110_SD,5000,10000,100,0.3638581931591034,0.9290673732757568,0.010048595257103443,0.7300000190734863,0.13100939919240773
birds,resnet50,2897,2897,200,0.36656272411346436,0.9809890389442444,0.015854429453611374,0.7311011552810669,0.15138689801096916
SVHN,resnet152_SD,6000,26032,10,0.029193956404924393,0.07991955429315567,0.006432549562305212,0.9818300604820251,0.11484587797895074
derma,beit,1003,2005,7,0.34746500849723816,0.724172830581665,0.024721110239624977,0.7501246929168701,0.04375148192048073
derma,convnext,1003,2005,7,0.16458064317703247,0.34289929270744324,0.013488802127540112,0.8857855200767517,0.030342545127496123
derma,resnet50,1003,2005,7,0.1773717999458313,0.3650778532028198,0.02025584504008293,0.882294237613678,0.030415148939937353
derma,vit,1003,2005,7,0.3733593821525574,0.7660762667655945,0.03179387375712395,0.7246882915496826,0.03392806905321777
oct,beit,10832,1000,4,0.3663434684276581,0.7291322946548462,0.13375775516033173,0.7609999775886536,0.11778642795979977
oct,convnext,10832,1000,4,0.17486657202243805,0.34190598130226135,0.044012509286403656,0.8920000195503235,0.10008100094273686
oct,resnet50,10832,1000,4,0.1915232390165329,0.3956921696662903,0.06694915890693665,0.8790000081062317,0.09891960606910288
oct,vit,10832,1000,4,0.4577411413192749,0.8788335919380188,0.16256871819496155,0.6959999799728394,0.0948120888788253
